CASEID	ID	Q1A	Q1B	Q1C1	Q1C2	Q1C3	Q1C4	Q1C5	Q1C6	Q1C7	Q1D1	Q1D2	Q1D3	Q1D4	Q1D5	Q1D6	Q1D7	Q1D8	Q1E	Q1F	Q1G	Q1H	PROSPECT	Q2A1	Q2A2	Q2A3	Q2C	N_2C1	N_2C2	N_2C3	N_2C4	Q2F1	Q2G	N_PERTME	TIC_N_1	TIC_N_2	TIC_N_3	TIC_N_4	TIC_N_5	TIC_N_6	TIC_N_7	TIC_N_8	TIC_N_9	TIC_N_10	TIC_N_11	TIC_N_12	TIC_N_13	TIC_N_14	TIC_N_15	TIC_N_16	Q3A1	Q3B1	N_Q3C1	Q3A2	Q3B2	N_Q3C2	Q3A3	Q3B3	N_Q3C3	Q3A4	Q3B4	N_Q3C4	Q3A5	Q3B5	N_Q3C5	Q3A6	Q3B6	N_Q3C6	Q3A7	Q3B7	N_Q3C7	N_Q3A8	N_Q3B8	N_Q3C8	Q3C1	Q3C2	Q3C3	Q3C4	Q3C5	Q3D	Q3E	Q3F1	Q3F2	Q3G1	Q3G2	Q3G3	Q3G4	Q3G5	Q3G6	Q3H	Q3I	N_Q3K	Q3J	N_Q3M	Q3K1	Q3K2	Q3K3	Q3K4	Q3K5	Q3K6	Q3K7	Q3K8	Q3K9	Q3K10	Q3K11	N_Q3K10	N_Q3K12	Q3L1	Q3M1	Q3L2	Q3M2	Q3L3	Q3M3	Q3L4	Q3M4	Q3N1	Q3N2	Q3N3	Q3O	Q3P	Q3Q	Q5A	Q5B1	Q5B2	Q5C1	Q5C2A	Q5C2B	Q5C2C	Q5C2D	Q5D	Q5E1	Q5E2	Q5E3	Q5F1	Q5F2	Q5G	Q5H	Q5I1	Q5I2	Q5I3	Q5I4	ZIPCODE	GENDER	WEIGHT	DISTRICT	STATE	USRCOFIX	CM_SEG	VERSION
1054	   51734	3	2	7	5	9	9	10	8	4	2	2	1	2	2	2	2	 	1	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	5	5	6	1	4	2	2	3	4	7	2	7	9	7	6	3	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	1	2	 	2	 	 	2	 	 	 	 	 	 	 	3	2	1	1	1	1	1	3	1	1	2	1	21	1	9999	6	6	4	10	7	3	7	5	8	5	0	5	7	2	 	1	3	2	 	2	 	1	2	2	2	4	4	1	2	4	1	1	0	0	0	5	1964	37	2	1	1	1	2	2	 	3	6	-1	2	1.01	6	5	 	7	2
1055	   51770	3	2	8	1	7	9	2	5	2	1	2	2	2	2	2	1	1	0	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	5	8	8	8	10	3	2	2	5	3	2	5	6	5	8	5	2	 	 	2	 	 	2	 	 	1	1	2	2	 	 	1	1	2	2	 	 	2	 	 	2	2	2	2	2	3	3	2	2	3	1	1	3	1	1	2	1	1	1	9999	8	7	5	5	8	8	2	7	5	5	5	8	5	2	 	1	3	2	 	1	3	2	1	2	2	1	0	1	2	4	1	0	1	1	0	4	1958	43	2	6	1	1	2	1	1	 	1	-1	2	.84	3	31	 	7	2
1056	   51821	2	1	9	0	5	5	2	2	5	2	2	1	2	2	2	2	 	1	1	1	1	1	2	4	2	3	1	3	4	2	2	0	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	1	2	 	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	3	2	1	2	3	1	1	3	3	3	2	1	41	2	 	5	9	0	7	7	7	0	3	0	9	0	9	3	1	3	1	2	2	 	2	 	1	1	2	2	3	1	1	2	4	1	0	0	2	0	3	1962	39	2	2	3	1	2	1	1	 	1	-1	2	1.62	1	15	 	7	1
1057	   51837	3	2	6	7	3	6	2	0	6	2	1	2	2	2	2	1	1	2	2	1	1	1	3	2	3	3	3	2	4	1	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	1	1	2	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	1	1	2	2	2	1	2	2	3	3	1	2	1	1	1	3	3	3	2	2	 	2	 	7	8	3	4	6	0	0	4	2	0	0	2	0	1	3	1	3	2	 	2	 	1	2	2	2	4	2	2	2	8	2	 	 	 	 	4	1980	21	1	6	 	1	2	1	3	 	3	-1	1	1.01	6	48	 	7	1
1058	   51843	3	2	2	0	5	10	0	0	5	2	2	2	2	2	2	2	 	2	2	1	1	1	3	4	2	4	4	2	3	1	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	2	 	 	1	2	 	2	 	 	2	 	 	2	 	 	2	 	 	 	 	 	 	 	2	3	2	2	3	1	1	3	3	1	2	2	 	2	 	5	8	5	5	8	5	2	5	5	0	2	2	8	1	4	2	 	2	 	2	 	2	1	2	2	0	0	1	2	5	1	0	0	2	1	3	1957	44	2	1	1	1	2	1	2	 	2	-1	1	.9	3	39	 	7	1
1059	   51850	2	2	9	8	9	9	5	5	7	2	2	1	2	2	2	2	 	1	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	9	5	9	5	9	9	5	9	9	8	3	9	9	8	9	9	2	 	 	2	 	 	2	 	 	2	 	 	2	 	 	1	1	1	2	 	 	2	 	 	2	2	2	2	2	3	2	1	2	3	1	1	3	3	1	2	2	 	2	 	9	9	9	9	9	9	9	9	9	5	5	9	9	1	1	1	1	2	 	2	 	1	1	2	2	10	0	1	2	4	1	2	0	0	0	5	1965	36	2	4	1	3	2	2	 	2	5	-1	2	1.71	1	36	 	7	2
1060	   51882	2	1	9	8	10	10	2	2	5	1	1	1	2	2	2	2	 	9	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	10	7	9	4	0	4	6	10	10	4	2	10	10	10	10	2	2	 	 	1	2	 	2	 	 	2	 	 	1	2	 	1	2	 	2	 	 	1	2	 	 	 	 	 	 	3	3	2	2	1	1	1	3	3	1	2	1	2	1	29	9	9	6	4	9	6	8	4	6	9	6	4	6	2	 	1	4	1	4	2	 	2	2	2	2	3	0	2	2	2	1	0	1	 	 	6	1972	29	1	1	 	1	2	1	1	 	1	-1	2	.43	1	14	 	7	2
1061	   51932	1	9999	4	1	10	10	4	3	5	2	2	1	1	2	2	1	1	6	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	5	10	10	5	8	0	0	5	10	10	0	8	10	8	5	8	1	2	 	1	2	 	1	2	 	1	2	 	1	2	 	1	1	2	2	 	 	1	2	 	2	2	2	1	2	2	3	2	2	3	1	1	3	3	1	2	2	 	2	 	6	6	0	5	8	5	3	8	0	8	2	5	8	2	 	2	 	2	 	1	4	 	 	 	2	0	0	1	1	 	2	 	 	 	 	6	1947	54	3	1	1	1	2	1	3	 	3	-1	2	.38	3	33	 	7	2
1062	   51955	3	2	7	8	8	4	5	3	5	2	2	1	2	2	2	2	 	2	1	1	1	1	3	4	1	3	4	2	3	1	2	0	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	 	 	2	 	 	1	2	 	2	 	 	1	2	 	1	2	 	2	 	 	2	 	 	 	 	 	 	 	2	2	1	1	1	1	3	1	3	1	2	1	21	2	 	9	9	5	2	9	5	2	8	5	0	2	7	5	2	 	1	3	2	 	2	 	1	2	2	2	10	0	1	2	2	2	 	 	 	 	5	1971	30	1	1	1	1	2	1	1	 	1	-1	2	.65	3	33	 	7	1
1063	   51968	2	2	5	5	8	9	5	5	6	2	2	1	1	2	2	2	 	3	2	1	1	1	 	 	 	 	 	 	 	 	 	 	 	6	4	7	3	5	3	7	6	5	5	7	5	5	5	7	5	1	2	 	2	 	 	2	 	 	2	 	 	2	 	 	1	2	 	2	 	 	2	 	 	 	 	 	 	 	3	2	2	2	3	1	1	3	3	1	2	2	 	2	 	5	8	5	7	10	6	7	5	5	3	6	5	7	1	4	1	4	2	 	2	 	2	2	2	2	3	0	1	2	3	1	1	0	0	0	5	1969	32	1	2	1	1	2	2	 	1	4	-1	2	.58	3	39	 	7	2
