CASEID	ID	Q1A	Q1B	Q1C1	Q1C2	Q1C3	Q1C4	Q1C5	Q1C6	Q1C7	Q1D1	Q1D2	Q1D3	Q1D4	Q1D5	Q1D6	Q1D7	Q1D8	Q1E	Q1F	Q1G	Q1H	PROSPECT	Q2A1	Q2A2	Q2A3	Q2C	N_2C1	N_2C2	N_2C3	N_2C4	Q2F1	Q2G	N_PERTME	TIC_N_1	TIC_N_2	TIC_N_3	TIC_N_4	TIC_N_5	TIC_N_6	TIC_N_7	TIC_N_8	TIC_N_9	TIC_N_10	TIC_N_11	TIC_N_12	TIC_N_13	TIC_N_14	TIC_N_15	TIC_N_16	Q3A1	Q3B1	N_Q3C1	Q3A2	Q3B2	N_Q3C2	Q3A3	Q3B3	N_Q3C3	Q3A4	Q3B4	N_Q3C4	Q3A5	Q3B5	N_Q3C5	Q3A6	Q3B6	N_Q3C6	Q3A7	Q3B7	N_Q3C7	N_Q3A8	N_Q3B8	N_Q3C8	Q3C1	Q3C2	Q3C3	Q3C4	Q3C5	Q3D	Q3E	Q3F1	Q3F2	Q3G1	Q3G2	Q3G3	Q3G4	Q3G5	Q3G6	Q3H	Q3I	N_Q3K	Q3J	N_Q3M	Q3K1	Q3K2	Q3K3	Q3K4	Q3K5	Q3K6	Q3K7	Q3K8	Q3K9	Q3K10	Q3K11	N_Q3K10	N_Q3K12	Q3L1	Q3M1	Q3L2	Q3M2	Q3L3	Q3M3	Q3L4	Q3M4	Q3N1	Q3N2	Q3N3	Q3O	Q3P	Q3Q	Q5A	Q5B1	Q5B2	Q5C1	Q5C2A	Q5C2B	Q5C2C	Q5C2D	Q5D	Q5E1	Q5E2	Q5E3	Q5F1	Q5F2	Q5G	Q5H	Q5I1	Q5I2	Q5I3	Q5I4	ZIPCODE	GENDER	WEIGHT	DISTRICT	STATE	USRCOFIX	CM_SEG	VERSION
322	   51147	3	2	6	5	6	6	4	4	4	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1948	53	3	4	1	1	2	1	2	 	2	-1	2	.84	1	36	 	 	3
323	   51149	5	3	0	3	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	1	0	0	0	2	3	1950	51	3	1	 	1	2	1	2	 	2	-1	1	.84	7	10	 	 	3
324	   51152	5	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	4	1	0	0	2	0	4	1962	39	2	1	1	1	2	1	3	 	3	-1	1	.88	1	15	 	 	3
325	   51157	3	2	1	1	5	9	1	5	1	2	2	2	2	2	2	2	 	0	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	4	1	2	0	0	0	6	1965	36	2	1	1	4	2	1	1	 	1	-1	2	.38	7	10	 	 	3
326	   51160	3	2	5	3	8	9	2	3	3	1	2	2	2	2	2	2	 	2	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1953	48	3	1	1	1	2	1	3	 	3	-1	2	1.58	3	33	 	 	3
327	   51162	3	2	6	6	8	8	7	7	3	2	2	2	2	2	2	2	 	1	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	3	1	0	0	0	2	4	1943	58	4	1	 	1	2	1	9999	 	 	-1	2	.73	1	36	 	 	3
328	   51168	3	2	4	0	3	8	5	3	2	1	2	1	1	2	2	2	 	1	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	7	1	1	1	2	1	4	1981	20	1	6	 	1	2	2	 	3	6	-1	2	1.65	7	10	 	 	3
329	   51171	5	3	0	10	0	0	0	0	0	1	1	2	2	2	2	2	 	1	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	 	 	 	 	3	1971	30	1	1	 	2	2	1	1	 	1	-1	1	2.35	2	1	 	 	3
330	   51173	5	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1955	46	3	1	1	1	2	2	 	1	4	-1	1	1.35	2	43	 	 	3
331	   51175	3	2	10	5	8	8	5	5	5	1	2	1	1	2	2	2	 	2	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	2	1	0	1	 	 	4	1963	38	2	1	 	1	2	1	2	 	2	-1	2	.47	2	1	 	 	3
332	   51179	3	2	5	5	5	5	2	5	2	1	2	2	2	2	2	2	 	2	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	1	1	1	 	 	5	1971	30	1	1	 	1	2	1	1	 	1	-1	2	.65	6	38	 	 	3
333	   51181	5	3	0	0	5	3	0	0	0	2	2	2	2	2	2	2	 	1	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	2	 	 	 	 	6	1972	29	1	1	 	1	2	2	 	6	9	-1	1	.74	7	11	 	 	3
334	   51182	5	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	5	1	3	1	 	 	4	1956	45	3	1	1	1	2	2	 	1	4	-1	1	.7	2	18	 	 	3
335	   51184	5	2	5	10	10	10	0	0	0	2	2	2	2	2	2	2	 	0	2	1	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	2	1	0	0	0	1	3	1955	46	3	1	 	2	2	1	1	 	1	-1	1	1.98	7	41	 	 	3
336	   51188	2	1	5	10	5	5	1	1	3	2	1	2	2	2	2	2	 	3	2	1	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	2	 	 	 	 	3	1930	71	5	3	 	1	2	1	1	 	1	-1	2	1.78	7	11	 	 	3
337	   51190	3	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	 	2	1	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	5	1	0	1	1	2	3	1956	45	3	2	1	1	2	1	3	 	3	-1	2	1.58	2	18	 	 	3
338	   51192	5	3	0	0	2	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	2	 	 	 	 	5	1966	35	2	1	 	1	2	1	1	 	1	-1	2	.59	1	23	 	 	3
339	   51193	2	1	9	4	4	10	10	5	4	2	2	2	2	2	2	2	 	0	2	2	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	3	1	0	1	0	1	1	1966	35	2	1	 	2	2	1	2	 	2	-1	2	3.62	2	25	 	 	3
340	   51198	3	2	2	0	7	5	0	0	0	2	2	2	2	2	2	2	 	0	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	5	1	0	1	0	0	4	1982	19	1	2	 	1	2	1	1	 	1	-1	1	.97	3	33	 	 	3
341	   51199	3	2	2	0	3	2	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	4	1943	58	4	1	4	1	2	1	2	 	2	-1	1	.41	7	11	 	 	3
342	   51210	2	1	1	3	3	3	0	3	3	1	2	2	2	2	2	2	 	1	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	3	1	0	0	1	0	2	1964	37	2	5	1	1	2	1	1	 	1	-1	2	2.04	2	25	 	 	3
343	   51213	3	1	5	8	7	7	3	3	3	1	1	2	2	2	2	2	 	3	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	6	1	0	1	3	0	4	1966	35	2	2	1	1	2	1	3	 	3	-1	2	.88	1	15	 	 	3
344	   51214	5	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	1	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	5	1	0	1	0	0	2	1982	19	1	2	 	4	2	9999	 	 	 	-1	1	2.24	6	38	 	 	3
345	   51216	3	1	5	5	6	4	3	3	3	1	2	2	2	2	2	2	 	1	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	2	 	 	 	 	6	1922	79	6	3	 	1	2	1	9999	 	 	-1	1	.42	6	5	 	 	3
346	   51218	5	3	10	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	4	1	1	0	0	0	2	1980	21	1	5	 	4	1	1	1	 	1	-1	2	2.27	7	10	 	 	3
347	   51220	4	2	1	1	1	2	0	0	3	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	2	1	0	0	0	1	6	1950	51	3	1	 	1	2	1	2	 	2	-1	1	.2	3	31	 	 	3
348	   51229	5	3	0	0	0	5	0	0	0	2	2	2	2	2	2	2	 	0	1	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	2	 	 	 	 	5	1935	66	5	1	 	1	2	1	1	 	1	-1	1	.65	2	25	 	 	3
349	   51238	4	2	6	2	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	3	1	0	1	0	0	2	1952	49	3	5	1	1	2	1	1	 	1	-1	2	1.9	1	15	 	 	3
350	   51242	3	2	5	5	10	9	1	1	4	2	2	1	2	2	2	2	 	1	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1947	54	3	2	3	1	2	1	9999	 	 	-1	2	1.49	3	39	 	 	3
351	   51247	5	3	0	0	0	0	0	3	0	2	2	1	2	2	2	2	 	2	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	7	1	4	1	0	0	5	1974	27	1	6	1	1	2	1	1	 	1	-1	2	.65	7	47	 	 	3
352	   51248	3	2	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	2	 	 	 	 	3	1953	48	3	9999	 	1	2	1	1	 	1	-1	1	1.51	1	14	 	 	3
353	   51250	5	2	2	2	3	5	1	0	0	2	2	2	1	2	2	2	 	1	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	4	1922	79	6	3	3	1	2	1	3	 	3	-1	1	.97	7	10	 	 	3
354	   51252	2	1	7	3	9	9	0	4	6	1	2	1	1	1	2	9999	 	20	2	2	1	1	 	 	 	 	 	 	 	 	 	 	 	5	8	8	0	0	0	8	0	5	0	0	6	9	8	2	2	1	1	2	1	1	2	1	2	 	1	2	 	2	 	 	2	 	 	1	2	 	2	 	 	2	2	1	2	2	2	3	1	2	1	1	1	2	3	1	2	2	 	2	 	0	0	9999	9999	0	0	0	0	0	0	0	0	0	9999	 	9999	 	9999	 	9999	 	 	 	 	9999	9999	9999	9999	9999	 	 	 	 	 	 	9999	9999	-7998	 	9999	 	9999	9999	9999	 	 	 	-1	2	.95	3	33	 	 	2
355	   51253	3	2	4	0	5	8	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	3	1930	71	5	4	3	1	2	1	1	 	1	-1	1	1.78	3	39	 	 	3
356	   51254	3	2	4	9	2	3	1	1	4	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	4	1	2	0	0	0	2	1979	22	1	1	1	4	1	1	2	 	2	-1	1	1.26	1	50	 	 	3
357	   51255	4	3	0	0	0	0	0	0	0	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	1	 	2	 	 	 	 	2	1924	77	6	3	 	1	2	1	1	 	1	-1	2	2.24	1	15	 	 	3
358	   51259	2	1	6	3	4	3	0	0	1	2	2	2	2	2	2	2	 	1	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	3	1	1	0	0	0	3	1973	28	1	5	1	1	1	1	2	 	2	-1	2	1	7	49	 	 	3
359	   51263	1	1	5	0	5	7	0	0	0	1	2	1	2	2	2	2	 	7	2	1	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	2	1967	34	1	1	1	1	2	2	 	1	4	-1	1	2.02	1	23	 	 	3
360	   51265	4	2	1	0	4	5	0	3	4	2	2	2	2	2	2	2	 	0	2	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	5	1958	43	2	1	1	1	2	2	 	1	4	-1	2	.53	7	34	 	 	3
361	   51266	3	2	5	0	2	0	0	4	1	2	2	2	2	2	2	2	 	0	2	2	2	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	2	2	 	 	 	 	4	1952	49	3	1	1	1	2	9999	 	 	 	-1	2	.77	1	14	 	 	3
362	   51267	3	2	5	0	3	3	0	0	0	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	1	 	2	 	 	 	 	3	1979	22	1	1	 	1	2	1	1	 	1	-1	2	1.86	1	50	 	 	3
363	   51270	3	3	5	2	3	6	4	3	7	2	2	2	2	2	2	2	 	0	2	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	1	 	2	 	 	 	 	3	1963	38	2	1	 	1	2	1	1	 	1	-1	1	1.62	3	39	 	 	3
